id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
account_snc_base_45951,Investimentos financeiros em curso,45951,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,,False
account_snc_base_45952,Propriedades de investimento em curso,45952,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,,False
account_snc_base_45953,Ativos fixos tangíveis em curso,45953,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_base,,False
account_snc_base_45954,Ativos intangíveis em curso,45954,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,,False
account_snc_base_4611,Investimentos financeiros,4611,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,"ptplus.tag_cfc_a00310,ptplus.tag_cfc_a00314",False
account_snc_base_4612,Propriedades de investimento,4612,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,"ptplus.tag_cfc_a00311,ptplus.tag_cfc_a00315",False
account_snc_base_4613,Ativos fixos tangíveis,4613,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_base,"ptplus.tag_cfc_a00308,ptplus.tag_cfc_a00312",False
account_snc_base_4614,Ativos intangíveis,4614,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,"ptplus.tag_cfc_a00309,ptplus.tag_cfc_a00313",False
account_snc_base_4615,Outros,4615,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,"ptplus.tag_cfc_a00311,ptplus.tag_cfc_a00315",False
account_snc_base_462,Passivos não correntes detidos para venda,462,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,"ptplus.tag_cfc_a00311,ptplus.tag_cfc_a00315",False
account_snc_base_4691,Investimentos financeiros,4691,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,,False
account_snc_base_4692,Propriedades de investimento,4692,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,,False
account_snc_base_4693,Ativos fixos tangíveis,4693,account.data_account_type_fixed_assets,ptplus.account_chart_template_snc_base,,False
account_snc_base_4694,Ativos intangíveis,4694,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,,False
account_snc_base_4695,Outros,4695,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_base,,False
account_snc_base_511,Capital subscrito,511,account.data_account_type_equity,ptplus.account_chart_template_snc_base,"ptplus.tag_cfc_a00321,ptplus.tag_cfc_a00328",False
account_snc_base_5711,Ajustamentos de transição,5711,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_5712,Lucros não atribuídos,5712,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_5713,Decorrentes de outras variações nos capitais próprios das participadas,5713,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_579,Outros,579,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_5811,Antes de imposto sobre o rendimento,5811,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_5812,Impostos diferidos,5812,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_5891,Antes de imposto sobre o rendimento,5891,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_5892,Impostos diferidos,5892,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_591,Diferenças de conversão de demonstrações financeiras,591,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_592,Ajustamentos por impostos diferidos,592,account.data_account_type_equity,ptplus.account_chart_template_snc_base,,False
account_snc_base_6121,Matérias-primas,6121,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00302,False
account_snc_base_6122,Matérias subsidiárias,6122,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00302,False
account_snc_base_6123,Embalagens,6123,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00302,False
account_snc_base_6124,Materiais diversos,6124,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00302,False
account_snc_base_613,Ativos biológicos (compras),613,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00302,False
account_snc_base_62211,Trabalhos especializados,62211,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00306,False
account_snc_base_62212,Pagamentos a trabalhadores colocados através de agências,62212,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00306,False
account_snc_base_6227,Serviços Bancários,6227,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00306,False
account_snc_base_6228,Outros,6228,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00306,False
account_snc_base_62611,Rendas e alugueres,62611,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00306,False
account_snc_base_626121,Rendas de Terrenos sem edifícios implantados,626121,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00306,False
account_snc_base_626122,Rendas de Terrenos com edifícios implantados,626122,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00306,False
account_snc_base_6331,Prémios para pensões,6331,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00306,False
account_snc_base_6332,Outros benefícios,6332,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,ptplus.tag_cfc_a00306,False
account_snc_base_6411,Terrenos e recursos naturais,6411,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6412,Edifícios e outras construções,6412,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6416,Outras propriedades de investimento,6416,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6421,Terrenos e recursos naturais,6421,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6422,Edifícios e outras construções,6422,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6423,Equipamento básico,6423,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6424,Equipamento de transporte,6424,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6425,Equipamento administrativo,6425,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6426,Equipamentos biológicos,6426,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6427,Outros ativos fixos tangíveis,6427,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6431,Goodwill,6431,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6432,Projetos de desenvolvimento,6432,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6433,Programas de computador,6433,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6434,Propriedade industrial,6434,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6436,Outros ativos intangíveis,6436,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6441,Consumíveis,6441,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6442,De produção,6442,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6451,Goodwill,6451,account.data_account_type_depreciation,ptplus.account_chart_template_snc_base,,False
account_snc_base_6521,Mercadorias,6521,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6522,"Matérias-primas, subsidiárias e de consumo",6522,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6523,Produtos acabados e intermédios,6523,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6524,"Subprodutos, desperdícios, resíduos e refugos",6524,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6525,Produtos e trabalhos em curso,6525,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6526,Ativos biológicos consumíveis,6526,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6527,Ativos biológicos de produção,6527,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6531,Participações de capital,6531,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6532,Empréstimos concedidos,6532,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6533,Outros investimentos financeiros,6533,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6534,Goodwill,6534,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6541,Terrenos e recursos naturais,6541,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6542,Edifícios e outras construções,6542,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6543,Outras propriedades de investimento,6543,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
account_snc_base_6551,Terrenos e recursos naturais,6551,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_base,,False
