id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
account_snc_micro_626122,Rendas de Terrenos com edifícios implantados,626122,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6421,Terrenos e recursos naturais,6421,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6422,Edifícios e outras construções,6422,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6423,Equipamento básico,6423,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6424,Equipamento de transporte,6424,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6425,Equipamento administrativo,6425,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6426,Equipamentos biológicos,6426,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6427,Outros ativos fixos tangíveis,6427,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6431,Goodwill,6431,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6432,Projetos de desenvolvimento,6432,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6433,Programas de computador,6433,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6434,Propriedade industrial,6434,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6436,Outros ativos intangíveis,6436,account.data_account_type_depreciation,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6521,Mercadorias,6521,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6522,"Matérias-primas, subsidiárias e de consumo",6522,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6523,Produtos acabados e intermédios,6523,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6524,"Subprodutos, desperdícios, resíduos e refugos",6524,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6525,Produtos e trabalhos em curso,6525,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6531,Participações de capital,6531,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6532,Empréstimos concedidos,6532,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6533,Outros investimentos financeiros,6533,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6534,Goodwill,6534,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_678,Outras provisões,678,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6811,Impostos Diretos,6811,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_6812,Impostos indiretos,6812,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_micro,,
account_snc_micro_7121,Produtos acabados,7121,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_7122,Produtos intermédios,7122,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_713,"Subprodutos, desperdícios, resíduos e refugos",713,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_7171,Mercadorias,7171,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_71721,Produtos acabados,71721,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_71722,Produtos intermédios,71722,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_7181,Mercadorias,7181,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_71821,Produtos acabados,71821,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_71822,Produtos intermédios,71822,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_721,Serviço A,721,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_722,Serviço B,722,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_7311,Produtos acabados,7311,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_7312,Produtos intermédios,7312,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_732,"Subprodutos, desperdícios, resíduos e refugos",732,account.data_account_type_revenue,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76121,Terrenos e recursos naturais,76121,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76122,Edifícios e outras construções,76122,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76123,Equipamento básico,76123,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76124,Equipamento de transporte,76124,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76125,Equipamento administrativo,76125,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76126,Equipamentos biológicos,76126,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76127,Outros ativos fixos tangíveis,76127,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76131,Goodwill,76131,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76132,Projetos de desenvolvimento,76132,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76133,Programas de computador,76133,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76134,Propriedade industrial,76134,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76136,Outros ativos intangíveis,76136,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76221,Mercadorias,76221,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76222,"Matérias-primas, subsidiárias e de consumo",76222,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76223,Produtos acabados e intermédios,76223,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76224,"Subprodutos, desperdícios, resíduos e refugos",76224,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76225,Produtos e trabalhos em curso,76225,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76231,Participações de capital,76231,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76232,Empréstimos concedidos,76232,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_76235,Outros investimentos financeiros,76235,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_781,Rendimentos suplementares,781,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_7918,Outros,7918,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
account_snc_micro_792,Dividendos obtidos,792,account.data_account_type_other_income,ptplus.account_chart_template_snc_micro,,
