id,name,code,user_type_id/id,chart_template_id/id,reconcile
account_snc_esnl_4429,Perdas por imparidade acumuladas,4429,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_448,Amortizações acumuladas,448,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_449,Perdas por imparidade acumuladas,449,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_452,Propriedades de investimento em curso,452,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_455,"Adiantamentos por conta do património histórico, artístico e cultural",455,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_459,Perdas por imparidade acumuladas,459,account.data_account_type_non_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_469,Perdas por imparidade acumuladas,469,account.data_account_type_current_assets,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_511,Fundos,511,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_541,Prémios de emissão,541,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_5711,Ajustamentos de transição,5711,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_5712,Lucros não atribuídos,5712,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_5713,Decorrentes de outras variações nos capitais próprios das participadas,5713,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_579,Outros,579,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_5811,Antes de imposto sobre o rendimento,5811,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_5812,Impostos diferidos,5812,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_5891,Antes de imposto sobre o rendimento,5891,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_5892,Impostos diferidos,5892,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_591,Diferenças de conversão de demonstrações financeiras,591,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_592,Ajustamentos por impostos diferidos,592,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_612,"Matérias-primas, subsidiárias e de consumo",612,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_613,Ativos biológicos (compras),613,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6141,Material desportivo,6141,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6142,Medicamentos e artigos de saúde,6142,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6143,Material de representação e propaganda,6143,account.data_account_type_direct_costs,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6221,Trabalhos especializados,6221,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6261,Rendas e alugueres,6261,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6331,Prémios para pensões,6331,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6332,Outros benefícios,6332,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_641,Propriedades de investimento,641,account.data_account_type_depreciation,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_642,Ativos fixos tangíveis,642,account.data_account_type_depreciation,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_643,Ativos intangíveis.,643,account.data_account_type_depreciation,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_652,Em inventários,652,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_653,Em investimentos financeiros,653,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_654,Em propriedades de investimento,654,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_655,Em ativos fixos tangíveis,655,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_656,Em ativos intangíveis,656,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_657,Em investimentos em curso,657,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_658,Em ativos não correntes detidos para venda,658,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_661,Em instrumentos financeiros,661,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_662,Em investimentos financeiros,662,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_663,Em propriedades de investimento,663,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_664,Em ativos biológicos,664,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_675,Matérias ambientais,675,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_676,Contratos onerosos,676,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_677,Reestruturação,677,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_678,Provisões específicas do sector,678,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_679,Outras provisões,679,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6812,Impostos indiretos:,6812,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6851,Cobertura de prejuízos,6851,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6852,Aplicação do método da equivalência patrimonial,6852,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6853,Alienações,6853,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6858,Outros gastos,6858,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6874,Gastos em propriedades de investimento,6874,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6886,Perdas em instrumentos financeiros,6886,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6891,"Subsídios, donativos, bolsas de estudo",6891,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6892,Prestações a associados das mutualidades,6892,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6893,Capitais vencidos - associados das mutualidades,6893,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6894,Prestações dos regimes profissionais complementares,6894,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6895,Rendas vitalícias - associados das mutualidades,6895,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6896,Prestações pecuniárias de cuidados de saúde,6896,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_6898,Outros gastos inerentes a associados,6898,account.data_account_type_expenses,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_712,Produtos acabados e intermédios,712,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_713,"Subprodutos, desperdícios, resíduos e refugos",713,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_714,Ativos biológicos,714,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7151,Material desportivo,7151,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7152,Medicamentos e artigos de saúde,7152,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7153,Material de representação e propaganda,7153,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_717,Devoluções de vendas,717,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_718,Descontos e abatimentos em vendas,718,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_721,Quotas dos utilizadores,721,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_722,Quotizações e joias,722,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_723,Promoções para captação de recursos,723,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_731,Produtos acabados e intermédios,731,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_732,"Subprodutos, desperdícios, resíduos e refugos",732,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_734,Ativos biológicos,734,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_743,Propriedades de investimento,743,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_753,Doações e heranças,753,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_754,Legados,754,account.data_account_type_revenue,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7611,Propriedades de investimento,7611,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7612,Ativos fixos tangíveis,7612,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7613,Ativos intangíveis,7613,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7622,Em inventários,7622,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7623,Em investimentos financeiros,7623,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7624,Em propriedades de investimento,7624,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7625,Em ativos fixos tangíveis,7625,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7626,Em ativos intangíveis,7626,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7627,Em investimentos em curso,7627,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7628,Em ativos não correntes detidos para venda,7628,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7635,Matérias ambientais,7635,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7636,Contratos onerosos,7636,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7637,Reestruturação,7637,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7638,Específicas,7638,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7639,Outras provisões,7639,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_771,Em instrumentos financeiros,771,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_772,Em investimentos financeiros,772,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_773,Em propriedades de investimento,773,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_774,Em ativos biológicos,774,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7811,Serviços sociais,7811,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7812,Aluguer de equipamento,7812,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7813,"Estudos, projetos e assistência tecnológica",7813,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7814,Royalties,7814,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7815,Desempenho de cargos sociais noutras empresas,7815,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7816,Outros rendimentos suplementares,7816,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7851,Aplicação do método da equivalência patrimonial,7851,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7852,Alienações,7852,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7858,Outros rendimentos,7858,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7873,Rendas e outros rendimentos em propriedades de investimento,7873,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7884,Ganhos em outros instrumentos financeiros,7884,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7912,De outras aplicações de meios financeiros líquidos,7912,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7913,De financiamentos concedidos a associadas e empreendimentos conjuntos,7913,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7914,De financiamentos concedidos a subsidiárias,7914,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7918,De outros financiamentos concedidos,7918,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7921,De aplicações de meios financeiros líquidos,7921,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7922,De associadas e empreendimentos conjuntos,7922,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7923,De subsidiárias,7923,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_7928,Outras,7928,account.data_account_type_other_income,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_8122,Imposto diferido,8122,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
account_snc_esnl_891,Dividendos antecipados,891,account.data_account_type_equity,ptplus.account_chart_template_snc_esnl,False
